id,manufacture_date
1,28/08/24
2,12/09/24
3,13/09/24
4,17/09/24
5,30/08/24
6,05/09/24
7,09/09/24
8,12/09/24
9,13/09/24
10,18/09/24
11,24/08/24
12,18/09/24
13,04/09/24
14,13/09/24
15,04/09/24
16,05/09/24
17,05/09/24
18,05/09/24
19,25/07/24
20,03/09/24
21,25/07/24
22,09/08/24
23,03/09/24
24,10/08/24
25,10/08/24
26,03/09/24
27,03/09/24
28,03/09/24
29,04/09/24
30,05/06/24
31,05/09/24
32,27/05/24
33,09/08/24
34,23/08/24
35,23/08/24
36,06/04/24
37,27/05/24
38,05/09/24
39,13/02/24
40,17/02/24
41,05/09/24
42,28/08/24
43,04/09/24
44,28/08/24
45,22/07/24
46,23/07/24
47,23/07/24
48,16/08/24
49,16/08/24
50,04/09/24
51,05/09/24
52,17/09/24
53,05/07/24
54,22/06/24
55,02/08/24
56,07/06/24
57,17/09/24
58,08/05/24
59,25/07/24
60,18/09/24
61,18/07/24
62,23/08/24
63,05/09/24
64,10/08/24
65,12/09/24
66,13/09/24
67,17/09/24
68,17/09/24
69,31/07/24
70,13/09/24
71,13/09/24
72,08/05/24
73,06/06/24
74,05/07/24
75,05/07/24
76,28/08/24
77,05/09/24
78,27/05/24
79,27/05/24
80,08/05/24
81,27/05/24
82,05/07/24
83,28/08/24
84,28/08/24
85,29/01/24
86,31/01/24
87,05/09/24
88,05/09/24
89,31/07/24
90,23/08/24
91,25/07/24
92,19/08/24
93,04/09/24
94,05/09/24
95,09/09/24
96,05/07/24
97,02/08/24
98,09/05/24
99,24/06/24
100,26/06/24
101,03/07/24
102,25/07/24
103,09/09/24
104,15/02/24
105,24/08/24
106,06/05/24
107,08/05/24
108,26/06/24
109,25/07/24
110,25/07/24
111,25/07/24
112,09/09/24
113,04/09/24
114,04/09/24
115,04/09/24
116,04/09/24
117,13/08/24
118,19/08/24
119,25/07/24
120,13/08/24
121,23/08/24
122,03/07/24
123,25/07/24
124,25/07/24
125,23/08/24
126,23/08/24
127,24/08/24
128,24/08/24
129,31/08/24
130,31/08/24
131,06/09/24
132,18/09/24
133,17/09/24
134,28/08/24
135,30/08/24
136,31/08/24
137,30/08/24
138,30/08/24
139,30/08/24
140,25/01/24
141,18/09/24
142,24/08/24
143,23/08/24
144,05/06/24
145,27/05/24
146,27/05/24
147,23/08/24
148,05/07/24
149,10/08/24
150,03/09/24
151,05/06/24
152,04/09/24
153,04/09/24
154,05/09/24
155,04/09/24
156,04/09/24
157,18/05/24
158,21/06/24
159,03/09/24
160,24/08/24
161,23/08/24
162,21/06/24
163,08/07/24
164,19/05/25
165,27/05/25
166,29/05/25
167,31/05/25